UF_tbProjPopTCU;COD_UF_tbProjPopTCU;COD_MUNIC_tbProjPopTCU;COD_MUNIC7_tbProjPopTCU;COD_MUNIC6_tbProjPopTCU;NOME_MUNICIPIO_tbProjPopTCU;POPULACAO_ESTIMADA _tbProjPopTCU;capital_tbMunLatLong;latitude_tbMunLatLong;longitude_tbMunLatLong;CENTRAL_DE_ABASTECIMENTO;CENTRAL_DE_GESTAO_EM_SAUDE;CENTRAL_DE_NOTIFICACAO_CAPTACAO_E_DISTRIB_DE_ORGAOS_ESTADUAL;CENTRAL_DE_REGULACAO_DE_SERVICOS_DE_SAUDE;CENTRAL_DE_REGULACAO_DO_ACESSO;CENTRAL_DE_REGULACAO_MEDICA_DAS_URGENCIAS;CENTRO_DE_APOIO_A_SAUDE_DA_FAMILIA;CENTRO_DE_ATENCAO_HEMOTERAPIA_E_OU_HEMATOLOGICA;CENTRO_DE_ATENCAO_PSICOSSOCIAL;CENTRO_DE_IMUNIZACAO;CENTRO_DE_PARTO_NORMAL_-_ISOLADO;CENTRO_DE_SAUDE_UNIDADE_BASICA;CLINICA_CENTRO_DE_ESPECIALIDADE;CONSULTORIO_ISOLADO;COOPERATIVA_OU_EMPRESA_DE_CESSAO_DE_TRABALHADORES_NA_SAUDE;FARMACIA;HOSPITAL_ESPECIALIZADO;HOSPITAL_GERAL;HOSPITAL_DIA_-_ISOLADO;LABORATORIO_CENTRAL_DE_SAUDE_PUBLICA_LACEN;LABORATORIO_DE_SAUDE_PUBLICA;OFICINA_ORTOPEDICA;POLICLINICA;POLO_ACADEMIA_DA_SAUDE;POLO_DE_PREVENCAO_DE_DOENCAS_E_AGRAVOS_E_PROMOCAO_DA_SAUDE;POSTO_DE_SAUDE;PRONTO_ATENDIMENTO;PRONTO_SOCORRO_ESPECIALIZADO;PRONTO_SOCORRO_GERAL;SERVICO_DE_ATENCAO_DOMICILIAR_ISOLADO_HOMECARE;TELESSAUDE;UNIDADE_DE_APOIO_DIAGNOSE_E_TERAPIA_ISOLADO;UNIDADE_DE_ATENCAO_A_SAUDE_INDIGENA;UNIDADE_DE_ATENCAO_EM_REGIME_RESIDENCIAL;UNIDADE_DE_VIGILANCIA_EM_SAUDE;UNIDADE_MISTA;UNIDADE_MOVEL_DE_NIVEL_PREHOSPITALAR_NA_AREA_DE_URGENCIA;UNIDADE_MOVEL_FLUVIAL;UNIDADE_MOVEL_TERRESTRE;QT_UNIDADES_BASICAS;QT_EXIST_LEITOS_rlEstabComplementar
RO;11;15;1100015;110001;Alta Floresta D'Oeste;22945;0;-11.9283;-61.9953;0;1;0;0;0;0;0;1;1;0;0;4;1;7;0;1;0;2;0;0;0;0;0;1;0;6;0;0;0;0;0;5;7;0;1;0;0;0;0;38;51.0
RO;11;23;1100023;110002;Ariquemes;107863;0;-9.905710000000001;-63.0325;0;3;0;0;1;1;2;1;1;0;1;13;42;36;0;2;1;9;0;0;0;0;1;0;0;0;1;0;0;1;0;16;0;0;5;0;8;0;0;145;317.0
RO;11;31;1100031;110003;Cabixi;5312;0;-13.4945;-60.552;0;1;0;0;0;0;1;0;0;0;0;3;0;3;0;1;0;0;0;0;1;0;0;1;0;5;0;0;0;0;0;0;0;0;1;1;0;0;0;18;9.0
RO;11;49;1100049;110004;Cacoal;85359;0;-11.4343;-61.4562;0;2;0;0;0;0;0;1;1;0;0;12;42;207;0;42;0;9;0;0;0;0;5;0;0;1;0;0;1;2;0;18;15;0;2;0;0;0;2;362;469.0
RO;11;56;1100056;110005;Cerejeiras;16323;0;-13.187000000000001;-60.8168;0;1;0;0;0;0;0;0;1;0;0;5;4;9;0;6;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;1;0;0;0;0;34;42.0
RO;11;64;1100064;110006;Colorado do Oeste;15882;0;-13.1174;-60.5454;0;1;0;0;0;0;0;0;1;0;0;4;2;6;0;1;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;3;0;0;1;0;0;0;0;22;50.0
RO;11;72;1100072;110007;Corumbiara;7391;0;-12.9551;-60.8947;0;1;0;0;0;0;0;2;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;1;0;2;1;0;0;0;13;16.0
RO;11;80;1100080;110008;Costa Marques;18331;0;-12.4367;-64.22800000000001;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;4;0;0;1;1;0;0;0;15;45.0
RO;11;98;1100098;110009;Espigão D'Oeste;32374;0;-11.5266;-61.0252;0;1;0;0;0;0;0;1;1;0;0;2;6;13;0;0;0;3;0;0;0;0;0;0;0;9;0;0;0;0;0;5;6;0;2;0;0;0;0;49;55.0
RO;11;106;1100106;110010;Guajará-Mirim;46174;0;-10.7889;-65.3296;0;1;0;0;0;0;0;1;1;0;0;7;0;15;0;0;0;2;0;1;0;0;0;0;1;12;0;0;0;0;0;9;5;0;2;0;0;0;3;60;97.0
RO;11;114;1100114;110011;Jaru;51775;0;-10.4318;-62.4788;0;1;0;0;1;0;0;0;1;0;0;10;20;81;0;24;0;3;0;0;1;0;0;1;0;3;0;0;0;0;0;18;4;0;4;0;0;0;1;173;138.0
RO;11;122;1100122;110012;Ji-Paraná;128969;0;-10.8777;-61.9322;1;2;0;0;1;0;2;1;2;0;0;16;33;250;1;68;1;7;1;0;0;1;4;2;0;5;0;0;0;2;0;38;7;0;7;0;0;0;2;454;330.0
RO;11;130;1100130;110013;Machadinho D'Oeste;39991;0;-9.44363;-61.9818;0;1;0;0;0;0;0;1;1;0;0;7;3;5;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;2;0;0;29;48.0
RO;11;148;1100148;110014;Nova Brasilândia D'Oeste;20474;0;-11.7247;-62.3127;0;1;0;0;0;0;0;0;0;0;0;4;4;9;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;5;0;0;1;0;0;0;0;26;44.0
RO;11;155;1100155;110015;Ouro Preto do Oeste;36035;0;-10.7167;-62.2565;0;2;0;0;1;0;0;0;1;0;0;3;18;11;0;2;0;4;0;0;0;0;0;0;0;13;0;0;0;0;0;10;0;0;2;0;0;0;0;67;89.0
RO;11;189;1100189;110018;Pimenta Bueno;36660;0;-11.672;-61.198;0;2;0;0;1;0;0;0;1;0;0;6;9;86;0;13;0;2;0;0;1;0;2;0;0;2;0;0;0;0;0;9;0;0;6;0;0;0;0;140;58.0
RO;11;205;1100205;110020;Porto Velho;529544;1;-8.760769999999999;-63.8999;0;18;1;0;4;1;0;2;4;0;0;48;180;637;2;44;6;14;3;1;1;0;4;0;0;21;4;0;0;2;1;93;6;0;4;0;11;2;6;1120;2324.0
RO;11;254;1100254;110025;Presidente Médici;18986;0;-11.169;-61.8986;0;1;0;0;0;0;0;0;1;0;0;6;2;5;0;2;0;0;0;0;1;0;3;0;1;12;0;0;0;0;0;3;0;0;1;1;0;0;0;39;45.0
RO;11;262;1100262;110026;Rio Crespo;3764;0;-9.69965;-62.9011;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;1;0;0;0;0;12;9.0
RO;11;288;1100288;110028;Rolim de Moura;55058;0;-11.7271;-61.7714;0;2;0;0;1;0;0;1;1;0;0;12;10;74;0;2;0;3;0;0;0;0;4;0;1;3;0;0;0;0;0;16;0;0;2;0;0;0;0;132;98.0
RO;11;296;1100296;110029;Santa Luzia D'Oeste;6495;0;-11.9074;-61.7777;0;1;0;0;0;0;0;0;0;0;0;2;1;1;0;1;0;1;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;3;0;0;0;0;14;25.0
RO;11;304;1100304;110030;Vilhena;99854;0;-12.7502;-60.1488;1;3;0;0;1;0;0;0;1;1;0;9;57;199;0;7;0;3;0;0;1;1;1;0;0;11;0;0;0;5;0;38;2;0;3;0;0;0;2;346;233.0
RO;11;320;1100320;110032;São Miguel do Guaporé;23005;0;-11.6953;-62.7192;0;1;0;0;0;0;0;0;0;0;0;2;2;8;0;1;0;1;0;0;0;0;0;0;0;4;0;0;0;0;0;4;0;0;2;0;0;0;0;25;44.0
