UF;COD_UF;COD_MUNIC;COD_MUNIC7;COD_MUNIC6;NOME_MUNICIPIO;POPULACAO_ESTIMADA 
RO;11;00015;1100015;110001;Alta Floresta D'Oeste;22945
RO;11;00023;1100023;110002;Ariquemes;107863
RO;11;00031;1100031;110003;Cabixi;5312
RO;11;00049;1100049;110004;Cacoal;85359
RO;11;00056;1100056;110005;Cerejeiras;16323
RO;11;00064;1100064;110006;Colorado do Oeste;15882
RO;11;00072;1100072;110007;Corumbiara;7391
RO;11;00080;1100080;110008;Costa Marques;18331
RO;11;00098;1100098;110009;Espigão D'Oeste;32374
RO;11;00106;1100106;110010;Guajará-Mirim;46174
RO;11;00114;1100114;110011;Jaru;51775
RO;11;00122;1100122;110012;Ji-Paraná;128969
RO;11;00130;1100130;110013;Machadinho D'Oeste;39991
RO;11;00148;1100148;110014;Nova Brasilândia D'Oeste;20474
RO;11;00155;1100155;110015;Ouro Preto do Oeste;36035
RO;11;00189;1100189;110018;Pimenta Bueno;36660
RO;11;00205;1100205;110020;Porto Velho;529544
RO;11;00254;1100254;110025;Presidente Médici;18986
RO;11;00262;1100262;110026;Rio Crespo;3764
RO;11;00288;1100288;110028;Rolim de Moura;55058
RO;11;00296;1100296;110029;Santa Luzia D'Oeste;6495
RO;11;00304;1100304;110030;Vilhena;99854
RO;11;00320;1100320;110032;São Miguel do Guaporé;23005
RO;11;00338;1100338;110033;Nova Mamoré;30583
RO;11;00346;1100346;110034;Alvorada D'Oeste;14411
RO;11;00379;1100379;110037;Alto Alegre dos Parecis;13241
RO;11;00403;1100403;110040;Alto Paraíso;21428
RO;11;00452;1100452;110045;Buritis;39654
RO;11;00502;1100502;110050;Novo Horizonte do Oeste;8538
RO;11;00601;1100601;110060;Cacaulândia;6230
RO;11;00700;1100700;110070;Campo Novo de Rondônia;14139
RO;11;00809;1100809;110080;Candeias do Jamari;26693
RO;11;00908;1100908;110090;Castanheiras;3052
RO;11;00924;1100924;110092;Chupinguaia;11182
RO;11;00940;1100940;110094;Cujubim;25215
RO;11;01005;1101005;110100;Governador Jorge Teixeira;7767
RO;11;01104;1101104;110110;Itapuã do Oeste;10458
RO;11;01203;1101203;110120;Ministro Andreazza;9660
RO;11;01302;1101302;110130;Mirante da Serra;10947
RO;11;01401;1101401;110140;Monte Negro;15852
RO;11;01435;1101435;110143;Nova União;6970
RO;11;01450;1101450;110145;Parecis;6074
RO;11;01468;1101468;110146;Pimenteiras do Oeste;2169
RO;11;01476;1101476;110147;Primavera de Rondônia;2856
RO;11;01484;1101484;110148;São Felipe D'Oeste;5172
RO;11;01492;1101492;110149;São Francisco do Guaporé;20266
RO;11;01500;1101500;110150;Seringueiras;11856
RO;11;01559;1101559;110155;Teixeirópolis;4308
RO;11;01609;1101609;110160;Theobroma;10444
RO;11;01708;1101708;110170;Urupá;11467
RO;11;01757;1101757;110175;Vale do Anari;11204
RO;11;01807;1101807;110180;Vale do Paraíso;6825
AC;12;00013;1200013;120001;Acrelândia;15256
AC;12;00054;1200054;120005;Assis Brasil;7417
AC;12;00104;1200104;120010;Brasiléia;26278
AC;12;00138;1200138;120013;Bujari;10266
